GOR_CODE,GOR_NAME,CTY_CODE,CTY_NAME,LA_CODE,LA_NAME,MSOA_CODE,MSOA_NAME,LSOA_CODE,LSOA_NAME,OA_CODE,OA_NAME,AREA_METADATA,DATA_VALUE All,DATA_VALUE NoC,DATA_VALUE 1,DATA_VALUE 2,DATA_VALUE 3,DATA_VALUE 4
F,West Midlands,,,00CN,Birmingham,E02001901,Birmingham 075,E01009068,Birmingham 075C,00CNFM0032,00CNFM0032,,127,62,29,25,8,3
F,West Midlands,,,00CN,Birmingham,E02001911,Birmingham 085,E01009073,Birmingham 085A,00CNFM0033,00CNFM0033,,124,17,33,44,27,3
F,West Midlands,,,00CN,Birmingham,E02001911,Birmingham 085,E01009074,Birmingham 085B,00CNFM0034,00CNFM0034,,132,22,39,44,22,5
F,West Midlands,,,00CN,Birmingham,E02001911,Birmingham 085,E01009074,Birmingham 085B,00CNFM0035,00CNFM0035,,123,41,36,30,16,0
F,West Midlands,,,00CN,Birmingham,E02001913,Birmingham 087,E01009071,Birmingham 087B,00CNFM0036,00CNFM0036,,127,52,29,28,15,3
F,West Midlands,,,00CN,Birmingham,E02001901,Birmingham 075,E01009072,Birmingham 075E,00CNFM0037,00CNFM0037,,141,56,46,35,4,0
F,West Midlands,,,00CN,Birmingham,E02001913,Birmingham 087,E01009075,Birmingham 087C,00CNFM0038,00CNFM0038,,150,39,44,51,13,3
F,West Midlands,,,00CN,Birmingham,E02001911,Birmingham 085,E01009074,Birmingham 085B,00CNFM0039,00CNFM0039,,128,41,39,27,17,4
F,West Midlands,,,00CN,Birmingham,E02001913,Birmingham 087,E01009075,Birmingham 087C,00CNFM0040,00CNFM0040,,115,14,46,41,14,0
F,West Midlands,,,00CN,Birmingham,E02001911,Birmingham 085,E01009073,Birmingham 085A,00CNFM0041,00CNFM0041,,130,11,33,47,33,6
F,West Midlands,,,00CN,Birmingham,E02001913,Birmingham 087,E01009071,Birmingham 087B,00CNFM0042,00CNFM0042,,116,35,38,37,6,0
F,West Midlands,,,00CN,Birmingham,E02001911,Birmingham 085,E01009073,Birmingham 085A,00CNFM0043,00CNFM0043,,121,41,34,32,14,0
F,West Midlands,,,00CN,Birmingham,E02001913,Birmingham 087,E01009075,Birmingham 087C,00CNFM0044,00CNFM0044,,136,33,45,47,11,0
F,West Midlands,,,00CN,Birmingham,E02001911,Birmingham 085,E01009074,Birmingham 085B,00CNFM0045,00CNFM0045,,129,17,43,42,23,4
F,West Midlands,,,00CN,Birmingham,E02001921,Birmingham 095,E01009077,Birmingham 095C,00CNFM0046,00CNFM0046,,118,18,33,35,27,5
F,West Midlands,,,00CN,Birmingham,E02001913,Birmingham 087,E01009071,Birmingham 087B,00CNFM0047,00CNFM0047,,124,38,36,40,10,0
F,West Midlands,,,00CN,Birmingham,E02001911,Birmingham 085,E01009073,Birmingham 085A,00CNFM0048,00CNFM0048,,139,14,39,49,31,6
F,West Midlands,,,00CN,Birmingham,E02001913,Birmingham 087,E01009071,Birmingham 087B,00CNFM0049,00CNFM0049,,129,16,22,52,29,10
F,West Midlands,,,00CN,Birmingham,E02001913,Birmingham 087,E01009075,Birmingham 087C,00CNFM0050,00CNFM0050,,131,22,28,47,30,4
F,West Midlands,,,00CN,Birmingham,E02001921,Birmingham 095,E01009077,Birmingham 095C,00CNFM0051,00CNFM0051,,117,37,30,31,16,3
F,West Midlands,,,00CN,Birmingham,E02001913,Birmingham 087,E01009076,Birmingham 087D,00CNFM0052,00CNFM0052,,139,70,35,21,10,3
F,West Midlands,,,00CN,Birmingham,E02001913,Birmingham 087,E01009076,Birmingham 087D,00CNFM0053,00CNFM0053,,122,25,33,36,23,5
F,West Midlands,,,00CN,Birmingham,E02001913,Birmingham 087,E01009076,Birmingham 087D,00CNFM0054,00CNFM0054,,131,27,31,36,30,7
F,West Midlands,,,00CN,Birmingham,E02001913,Birmingham 087,E01009078,Birmingham 087E,00CNFM0055,00CNFM0055,,130,25,29,45,26,5
F,West Midlands,,,00CN,Birmingham,E02001921,Birmingham 095,E01009077,Birmingham 095C,00CNFM0056,00CNFM0056,,129,47,42,34,6,0
F,West Midlands,,,00CN,Birmingham,E02001913,Birmingham 087,E01009076,Birmingham 087D,00CNFM0057,00CNFM0057,,136,47,35,22,24,8
F,West Midlands,,,00CN,Birmingham,E02001921,Birmingham 095,E01009077,Birmingham 095C,00CNFM0058,00CNFM0058,,127,27,41,35,21,3
F,West Midlands,,,00CN,Birmingham,E02001921,Birmingham 095,E01009064,Birmingham 095B,00CNFM0059,00CNFM0059,,135,54,41,31,6,3
F,West Midlands,,,00CN,Birmingham,E02001913,Birmingham 087,E01009078,Birmingham 087E,00CNFM0060,00CNFM0060,,133,46,49,26,9,3
F,West Midlands,,,00CN,Birmingham,E02001921,Birmingham 095,E01009077,Birmingham 095C,00CNFM0061,00CNFM0061,,117,44,41,22,10,0
F,West Midlands,,,00CN,Birmingham,E02001913,Birmingham 087,E01009078,Birmingham 087E,00CNFM0062,00CNFM0062,,143,44,45,47,4,3
F,West Midlands,,,00CN,Birmingham,E02001921,Birmingham 095,E01009064,Birmingham 095B,00CNFM0063,00CNFM0063,,120,28,35,37,17,3
F,West Midlands,,,00CN,Birmingham,E02001913,Birmingham 087,E01009078,Birmingham 087E,00CNFM0064,00CNFM0064,,121,36,36,25,21,3
F,West Midlands,,,00CN,Birmingham,E02001913,Birmingham 087,E01009078,Birmingham 087E,00CNFM0065,00CNFM0065,,108,55,27,16,10,0
F,West Midlands,,,00CN,Birmingham,E02001921,Birmingham 095,E01009064,Birmingham 095B,00CNFM0066,00CNFM0066,,121,17,33,36,25,10
F,West Midlands,,,00CN,Birmingham,E02001921,Birmingham 095,E01009077,Birmingham 095C,00CNFM0067,00CNFM0067,,112,24,35,31,14,8
F,West Midlands,,,00CN,Birmingham,E02001921,Birmingham 095,E01009064,Birmingham 095B,00CNFM0068,00CNFM0068,,115,22,26,37,22,8
F,West Midlands,,,00CN,Birmingham,E02001899,Birmingham 073,E01009066,Birmingham 073A,00CNFM0069,00CNFM0069,,117,9,33,55,17,3
F,West Midlands,,,00CN,Birmingham,E02001901,Birmingham 075,E01009065,Birmingham 075A,00CNFM0070,00CNFM0070,,86,26,26,24,7,3
F,West Midlands,,,00CN,Birmingham,E02001899,Birmingham 073,E01009066,Birmingham 073A,00CNFM0071,00CNFM0071,,128,65,39,21,3,0
F,West Midlands,,,00CN,Birmingham,E02001899,Birmingham 073,E01009066,Birmingham 073A,00CNFM0072,00CNFM0072,,101,47,37,13,4,0
F,West Midlands,,,00CN,Birmingham,E02001899,Birmingham 073,E01009066,Birmingham 073A,00CNFM0073,00CNFM0073,,115,54,35,20,3,3
F,West Midlands,,,00CN,Birmingham,E02001901,Birmingham 075,E01009065,Birmingham 075A,00CNFM0074,00CNFM0074,,142,67,40,32,3,0
F,West Midlands,,,00CN,Birmingham,E02001899,Birmingham 073,E01009066,Birmingham 073A,00CNFM0075,00CNFM0075,,118,65,32,18,3,0
F,West Midlands,,,00CN,Birmingham,E02001901,Birmingham 075,E01009065,Birmingham 075A,00CNFM0076,00CNFM0076,,125,60,23,28,11,3
F,West Midlands,,,00CN,Birmingham,E02001901,Birmingham 075,E01009067,Birmingham 075B,00CNFM0077,00CNFM0077,,113,54,21,29,6,3
F,West Midlands,,,00CN,Birmingham,E02001901,Birmingham 075,E01009067,Birmingham 075B,00CNFM0078,00CNFM0078,,119,54,22,23,17,3
F,West Midlands,,,00CN,Birmingham,E02001901,Birmingham 075,E01009067,Birmingham 075B,00CNFM0079,00CNFM0079,,115,49,23,27,16,0
F,West Midlands,,,00CN,Birmingham,E02001901,Birmingham 075,E01009069,Birmingham 075D,00CNFM0080,00CNFM0080,,106,35,34,28,9,0
F,West Midlands,,,00CN,Birmingham,E02001901,Birmingham 075,E01009069,Birmingham 075D,00CNFM0081,00CNFM0081,,131,44,25,51,8,3
F,West Midlands,,,00CN,Birmingham,E02001871,Birmingham 045,E01009091,Birmingham 045B,00CNFN0001,00CNFN0001,,144,48,44,27,21,4
F,West Midlands,,,00CN,Birmingham,E02001882,Birmingham 056,E01009095,Birmingham 056A,00CNFN0002,00CNFN0002,,116,25,44,33,11,3
F,West Midlands,,,00CN,Birmingham,E02001880,Birmingham 054,E01009094,Birmingham 054C,00CNFN0003,00CNFN0003,,126,16,35,49,22,4
F,West Midlands,,,00CN,Birmingham,E02001864,Birmingham 038,E01009081,Birmingham 038C,00CNFN0004,00CNFN0004,,137,15,49,51,22,0
F,West Midlands,,,00CN,Birmingham,E02001864,Birmingham 038,E01009080,Birmingham 038B,00CNFN0005,00CNFN0005,,135,34,44,42,12,3
F,West Midlands,,,00CN,Birmingham,E02001864,Birmingham 038,E01009081,Birmingham 038C,00CNFN0006,00CNFN0006,,137,29,44,36,19,9
F,West Midlands,,,00CN,Birmingham,E02001868,Birmingham 042,E01009085,Birmingham 042B,00CNFN0007,00CNFN0007,,139,37,46,41,12,3
F,West Midlands,,,00CN,Birmingham,E02001868,Birmingham 042,E01009087,Birmingham 042C,00CNFN0008,00CNFN0008,,160,26,58,50,23,3
F,West Midlands,,,00CN,Birmingham,E02001871,Birmingham 045,E01009088,Birmingham 045A,00CNFN0009,00CNFN0009,,152,27,49,50,23,3
F,West Midlands,,,00CN,Birmingham,E02001880,Birmingham 054,E01009092,Birmingham 054A,00CNFN0010,00CNFN0010,,118,17,34,39,21,7
F,West Midlands,,,00CN,Birmingham,E02001880,Birmingham 054,E01009094,Birmingham 054C,00CNFN0011,00CNFN0011,,122,20,40,41,21,0
F,West Midlands,,,00CN,Birmingham,E02001880,Birmingham 054,E01009093,Birmingham 054B,00CNFN0012,00CNFN0012,,119,15,40,41,16,7
F,West Midlands,,,00CN,Birmingham,E02001882,Birmingham 056,E01009095,Birmingham 056A,00CNFN0013,00CNFN0013,,113,26,42,34,8,3
F,West Midlands,,,00CN,Birmingham,E02001880,Birmingham 054,E01009093,Birmingham 054B,00CNFN0014,00CNFN0014,,123,10,31,43,26,13
F,West Midlands,,,00CN,Birmingham,E02001882,Birmingham 056,E01009095,Birmingham 056A,00CNFN0015,00CNFN0015,,139,27,43,40,26,3
F,West Midlands,,,00CN,Birmingham,E02001880,Birmingham 054,E01009092,Birmingham 054A,00CNFN0016,00CNFN0016,,117,9,38,40,20,10
F,West Midlands,,,00CN,Birmingham,E02001880,Birmingham 054,E01009093,Birmingham 054B,00CNFN0017,00CNFN0017,,125,11,33,43,30,8
F,West Midlands,,,00CN,Birmingham,E02001880,Birmingham 054,E01009092,Birmingham 054A,00CNFN0018,00CNFN0018,,127,18,34,53,22,0
F,West Midlands,,,00CN,Birmingham,E02001880,Birmingham 054,E01009094,Birmingham 054C,00CNFN0019,00CNFN0019,,136,32,46,39,16,3
F,West Midlands,,,00CN,Birmingham,E02001880,Birmingham 054,E01009094,Birmingham 054C,00CNFN0020,00CNFN0020,,120,16,31,48,20,5
F,West Midlands,,,00CN,Birmingham,E02001882,Birmingham 056,E01009095,Birmingham 056A,00CNFN0021,00CNFN0021,,139,47,38,35,19,0
